category,program,num_qubits,num_gates,num_2q_gates,depth,depth_2q,num_gates(opt),num_2q_gates(opt),depth(opt),depth_2q(opt)
condensedmatter,heis-graph-2D-grid-pbc-qubitnodes_Lx-5_Ly-186_h-3,930,32550,11160,7294,3366,17670,5580,31,15
condensedmatter,heis-graph-2D-triag-nonpbc-qubitnodes_Lx-40_Ly-40_h-0.1,861,42681,14760,3329,1536,23001,7380,37,18
condensedmatter,tfim-graph-1D-grid-pbc-qubitnodes_Lx-16_h-2,16,64,32,43,28,112,32,13,6
condensedmatter,tfim-graph-1D-grid-pbc-qubitnodes_Lx-26_h-6,26,104,52,73,48,182,52,13,6
condensedmatter,tfim-graph-2D-grid-nonpbc-qubitnodes_Lx-19_Ly-19_h-5,361,2413,1368,268,178,4465,1368,21,10
condensedmatter,tfim-graph-2D-grid-nonpbc-qubitnodes_Lx-5_Ly-15_h-3,75,465,260,118,78,855,260,21,10
condensedmatter,tfim-graph-2D-grid-pbc-qubitnodes_Lx-4_Ly-148_h-6,592,4144,2368,1336,890,7696,2368,21,10
condensedmatter,tfim-graph-2D-triag-nonpbc-qubitnodes_Lx-3_Ly-160_h-0.1,324,2733,1606,517,344,5142,1606,29,14
condensedmatter,tfim-graph-2D-triag-pbc-qubitnodes_Lx-13_Ly-13_h-0.1,91,910,546,223,148,1729,546,33,16
condensedmatter,tfim-graph-2D-triag-pbc-qubitnodes_Lx-19_Ly-19_h-0.5,190,1900,1140,409,272,3610,1140,29,14
discreteoptimization,TSP_Ncity-10-tsp_prob-pr76_Ncity-10_enc-unary,100,2800,1800,301,194,5500,1800,109,54
discreteoptimization,TSP_Ncity-10-tsp_prob-st70_Ncity-10_enc-unary,100,2800,1800,301,194,5500,1800,109,54
discreteoptimization,TSP_Ncity-16-tsp_prob-fl417_Ncity-16_enc-stdbinary,64,27904,24064,25749,22272,26036,8680,1679,840
discreteoptimization,TSP_Ncity-16-tsp_prob-kroD100_Ncity-16_enc-stdbinary,64,27904,24064,25749,22272,26036,8680,1679,840
discreteoptimization,TSP_Ncity-4-tsp_rand-002_Ncity-4_enc-stdbinary,8,176,128,136,103,265,86,75,37
discreteoptimization,TSP_Ncity-5-tsp_prob-ts225_Ncity-5_enc-unary,25,325,200,71,44,625,200,45,22
discreteoptimization,TSP_Ncity-7-tsp_prob-lin105_Ncity-7_enc-unary,49,931,588,145,92,1813,588,73,36
discreteoptimization,TSP_Ncity-8-tsp_prob-d198_Ncity-8_enc-unary,64,1408,896,191,122,2752,896,57,28
discreteoptimization,TSP_Ncity-8-tsp_prob-ulysses22_Ncity-8_enc-stdbinary,24,2432,1984,2096,1733,2881,956,371,186
discreteoptimization,binary-color02-dsjc1000.1_k-3-dsjc1000.1,72,2637,1962,1094,861,3904,1290,272,136
discreteoptimization,binary-graph-regular_k-5-reg-5_n-10_rinst-07,30,7345,6050,5298,4461,8099,2694,1180,590
discreteoptimization,gray-color02-1-fullins_5_k-5-1-fullins_5,144,30090,24756,14974,12644,34626,11531,3129,1567
discreteoptimization,gray-color02-will199gpia_k-3-will199gpia,120,6072,4560,2459,1950,8834,2918,585,292
discreteoptimization,unary-color02-ash608gpia_k-3-ash608gpia,480,3882,2268,170,108,7284,2268,57,28
discreteoptimization,unary-color02-queen13_13_k-4-queen13_13,112,1012,600,92,58,1912,600,37,18
